"filename", "language", "Markdown", "Java", "comment", "blank", "total"
"d:\Programing\java\FinalProject\demo\readme.md", "Markdown", 1024, 0, 0, 1, 1025
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\App.java", "Java", 0, 0, 3, 1, 4
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\SceneSystem\ActorObject.java", "Java", 0, 11, 0, 3, 14
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\SceneSystem\StageMouseListener.java", "Java", 0, 1, 0, 0, 1
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\SceneSystem\StageObject.java", "Java", 0, 6, 1, 1, 8
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\ViewModelSystem\ModelConstract.java", "Java", 0, -4, 0, -1, -5
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\ViewModelSystem\ModelMaintainer.java", "Java", 0, -20, -5, -5, -30
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\ViewModelSystem\ViewConstract.java", "Java", 0, -4, 0, -1, -5
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\ViewModelSystem\ViewMaintainer.java", "Java", 0, -29, -20, -5, -54
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\ActorListGUI.java", "Java", 0, 63, 8, 6, 77
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\guipart\InfoGUI.java", "Java", 0, -2, 0, 0, -2
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\Page.java", "Java", 0, -27, -3, -8, -38
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\PageManager.java", "Java", 0, -8, 0, -5, -13
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\PageMouseMoveListener.java", "Java", 0, -61, -1, -18, -80
"d:\Programing\java\FinalProject\demo\src\main\java\thefinal\pagepart\PageObject.java", "Java", 0, -78, -7, -11, -96
